Test Data:

Company Name			Microsoft	General_Electric	Autodesk		Deutsche_Bank
Company Address			1_Marina_Blvd	10_Lok_Yang_Way		1_Fusionopolis_Walk	30_Pasir_Panjang_Rd
Stock Spot Price(in $)		23.75		30.14			127			19.04
Option Strike Price(in $)	15		15			130			18
Risk Free Interest Rate		1%		1%			0.25%			0.5%
Stock Volatility		35%		33.2%			15%			30.80%
Expiration(in years)		0.5		0.25			0.75			1

Expected Output
Call Price			8.879596e+000	1.517746e+001		5.360656e+000		2.870142e+000
Put Price			5.478311e-002	9.317524e-006		8.117135e+000		1.740367e+000
